,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Total Days
LLM-BL,0.14385676072874354,0.2737053064026631,0.1357136705954546,1.8515938701677952,-0.05178536804792879,140.0
MVO,0.18410412954481847,0.35550714860742594,0.3152896090318282,1.1216869697365575,-0.14610718141386775,140.0
Equal-Weight,0.17518615218454348,0.33718654359179046,0.15094308946172125,2.001670343027225,-0.05003372094722711,140.0
SPY,0.09621386269366594,0.17980850266849302,0.1381083073500203,1.2669110196394802,-0.047199946252299646,140.0
