,AAPL,AMZN,BRK-B,GOOGL,HD,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,WMT
2024-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5366731147936183,0.4633268852063817,0.0,0.0
2024-08-28,0.1674537042613625,0.0,4.406849484229374e-23,0.0,0.0,2.0917988980439088e-24,0.022639940684404572,0.0,0.0,0.0,3.412993512894143e-23,0.12209715442573794,0.5667781398902552,0.0,0.12103106073823994
2024-09-26,1.9265278346944218e-22,6.842467467417761e-23,8.620438889973334e-23,4.856598748750231e-23,0.11492214328889296,3.287391428004098e-23,5.0886478062606856e-23,1.7921635872646982e-22,5.215979462120413e-23,8.704311654939232e-23,4.395308500608319e-25,0.41106731247461753,0.044075900435320774,2.2561734513202858e-23,0.4299346438011688
2024-10-24,3.633189137653283e-23,1.4709588316744872e-23,1.8562980059984083e-22,5.616072331870392e-23,0.0249075714426136,2.254331086694258e-22,1.066212605435889e-22,1.2270365189747298e-22,1.7643432620226893e-22,0.0,2.213354245377824e-22,0.2971718898649213,2.7442957047838875e-22,0.0,0.6779205386924652
2024-11-21,7.676305899206062e-23,1.0677514608716806e-22,9.529656795155312e-23,1.6995721717556354e-22,0.0,2.19042224716122e-23,1.0619365695619954e-22,7.046944740910863e-23,7.620978304188495e-23,4.7281002953672033e-23,7.061965998174264e-23,0.43237725497732116,2.481210908467857e-22,2.998559505781687e-23,0.5676227450226788
2024-12-20,4.1966409481927816e-23,4.3383886564137027e-23,7.395053419275228e-23,6.496123617153496e-24,0.0,9.545184867643593e-23,0.0,0.0,0.0,1.6910174120911861e-22,3.3574737288652016e-23,0.5310840473839047,0.0,2.5189618416946047e-23,0.46891595261609537
2025-01-23,4.98944857467383e-23,2.1124211618295378e-22,4.030827684591566e-23,6.602431394624401e-24,7.273098596996695e-23,1.172278037393954e-22,0.0,4.9876774711813776e-24,5.573768099473906e-23,0.0,0.0,0.45753652389515753,0.0,0.0,0.5424634761048425
